symbol,HGCN,uniprot,length,start,end,hmm.acc,hmm.name,type
47398,,Q1T7F1,81,NA,NA,NA,NA,NA
46785,,Q3C1V9,767,NA,NA,NA,NA,NA
45883,,Q499Y3,187,NA,NA,NA,NA,NA
37325,,Q4G0T1,1027,32,128,PF00530,SRCR,Domain
37332,,Q4G0T1,1027,138,227,PF00530,SRCR,Domain
37329,,Q4G0T1,1027,235,326,PF00530,SRCR,Domain
37327,,Q4G0T1,1027,331,428,PF00530,SRCR,Domain
37326,,Q4G0T1,1027,437,534,PF00530,SRCR,Domain
37330,,Q4G0T1,1027,564,656,PF00530,SRCR,Domain
37331,,Q4G0T1,1027,664,720,PF00530,SRCR,Domain
37328,,Q4G0T1,1027,789,886,PF00530,SRCR,Domain
14874,,Q56UQ5,140,6,139,PF00838,TCTP,Domain
46867,,Q5BKY6,102,NA,NA,NA,NA,NA
10883,,Q5PR19,223,115,222,PF15229,POM121,Family
46330,,Q5VSD8,79,NA,NA,NA,NA,NA
46754,,Q5VV11,94,NA,NA,NA,NA,NA
46353,,Q5W150,140,NA,NA,NA,NA,NA
45818,,Q5XG85,94,NA,NA,NA,NA,NA
46478,,Q6AWC8,147,NA,NA,NA,NA,NA
15179,,Q6P435,159,28,136,PF17229,SMG1_N,Disordered
47303,,Q6Q795,121,NA,NA,NA,NA,NA
45971,,Q6UWF5,114,NA,NA,NA,NA,NA
47229,,Q6UXP9,181,NA,NA,NA,NA,NA
47065,,Q6UXQ8,127,NA,NA,NA,NA,NA
47403,,Q6UXR6,183,NA,NA,NA,NA,NA
47250,,Q6UXR8,122,NA,NA,NA,NA,NA
46006,,Q6UXU0,137,NA,NA,NA,NA,NA
46453,,Q6UXV3,157,NA,NA,NA,NA,NA
47441,,Q6UY13,95,NA,NA,NA,NA,NA
46319,,Q6XCG6,107,NA,NA,NA,NA,NA
40333,,Q6ZN92,141,7,86,PF00692,dUTPase,Domain
6571,,Q6ZNB5,142,1,123,PF01834,XRCC1_N,Domain
47131,,Q6ZPA2,131,NA,NA,NA,NA,NA
46871,,Q6ZQT0,140,NA,NA,NA,NA,NA
4842,,Q6ZQT7,251,20,54,PF15788,DUF4705,Repeat
4841,,Q6ZQT7,251,38,87,PF15788,DUF4705,Repeat
4843,,Q6ZQT7,251,92,141,PF15788,DUF4705,Repeat
4840,,Q6ZQT7,251,162,194,PF15788,DUF4705,Repeat
46430,,Q6ZQY7,126,NA,NA,NA,NA,NA
46859,,Q6ZR03,302,NA,NA,NA,NA,NA
47191,,Q6ZR54,194,NA,NA,NA,NA,NA
4839,,Q6ZRG5,221,16,47,PF15779,LRRC37,Family
4838,,Q6ZRG5,221,98,129,PF15779,LRRC37,Family
15596,,Q6ZRM9,215,2,38,PF15788,DUF4705,Repeat
15595,,Q6ZRM9,215,74,124,PF15788,DUF4705,Repeat
46564,,Q6ZRN7,208,NA,NA,NA,NA,NA
46698,,Q6ZRP5,223,NA,NA,NA,NA,NA
46687,,Q6ZRU5,148,NA,NA,NA,NA,NA
47232,,Q6ZRX8,168,NA,NA,NA,NA,NA
47235,,Q6ZS46,218,NA,NA,NA,NA,NA
46874,,Q6ZS49,121,NA,NA,NA,NA,NA
46250,,Q6ZS52,159,NA,NA,NA,NA,NA
47292,,Q6ZS92,163,NA,NA,NA,NA,NA
46633,,Q6ZSA8,131,NA,NA,NA,NA,NA
18853,,Q6ZSN1,163,1,32,PF15143,DUF4575,Family
18852,,Q6ZSN1,163,33,161,PF15143,DUF4575,Family
47322,,Q6ZSR3,168,NA,NA,NA,NA,NA
45801,,Q6ZSR6,202,NA,NA,NA,NA,NA
15329,,Q6ZSR9,355,138,171,PF15282,BMP2K_C,Family
15330,,Q6ZSR9,355,171,351,PF15282,BMP2K_C,Family
47099,,Q6ZSV7,163,NA,NA,NA,NA,NA
46727,,Q6ZTC4,211,NA,NA,NA,NA,NA
46294,,Q6ZTI0,123,NA,NA,NA,NA,NA
46792,,Q6ZTK2,550,NA,NA,NA,NA,NA
47291,,Q6ZUG5,572,NA,NA,NA,NA,NA
46466,,Q6ZUT4,128,NA,NA,NA,NA,NA
46782,,Q6ZVH6,145,NA,NA,NA,NA,NA
45941,,Q6ZVL8,140,NA,NA,NA,NA,NA
47326,,Q6ZVQ6,151,NA,NA,NA,NA,NA
46313,,Q6ZVU0,165,NA,NA,NA,NA,NA
47209,,Q6ZWC4,215,NA,NA,NA,NA,NA
46973,,Q71RG6,208,NA,NA,NA,NA,NA
47204,,Q75L30,129,NA,NA,NA,NA,NA
45938,,Q7L0L9,218,NA,NA,NA,NA,NA
46780,,Q86TA4,180,NA,NA,NA,NA,NA
46804,,Q8IYB0,196,NA,NA,NA,NA,NA
47079,,Q8IZM0,81,NA,NA,NA,NA,NA
45881,,Q8N1X5,172,NA,NA,NA,NA,NA
46611,,Q8N1Y9,231,NA,NA,NA,NA,NA
45899,,Q8N2B8,174,NA,NA,NA,NA,NA
45973,,Q8N377,158,NA,NA,NA,NA,NA
46575,,Q8N3U1,123,NA,NA,NA,NA,NA
46520,,Q8N402,240,NA,NA,NA,NA,NA
46137,,Q8N6K4,173,NA,NA,NA,NA,NA
47142,,Q8N7P7,452,NA,NA,NA,NA,NA
46603,,Q8N814,137,NA,NA,NA,NA,NA
46514,,Q8N8P6,123,NA,NA,NA,NA,NA
46615,,Q8N976,141,NA,NA,NA,NA,NA
16944,,Q8N9G6,341,78,287,PF15229,POM121,Family
45869,,Q8N9L7,120,NA,NA,NA,NA,NA
46423,,Q8N9P0,234,NA,NA,NA,NA,NA
47345,,Q8N9W7,124,NA,NA,NA,NA,NA
46873,,Q8NA96,180,NA,NA,NA,NA,NA
46793,,Q8NAQ8,132,NA,NA,NA,NA,NA
46467,,Q8NBF4,154,NA,NA,NA,NA,NA
47388,,Q8NFD4,153,NA,NA,NA,NA,NA
45857,,Q8TAT8,98,NA,NA,NA,NA,NA
46361,,Q8TCH9,128,NA,NA,NA,NA,NA
46402,,Q8WTZ3,238,NA,NA,NA,NA,NA
46372,,Q8WZ26,134,NA,NA,NA,NA,NA
47331,,Q96IR3,41,NA,NA,NA,NA,NA
47127,,Q96M66,194,NA,NA,NA,NA,NA
47146,,Q96M85,177,NA,NA,NA,NA,NA
46238,,Q96MF0,132,NA,NA,NA,NA,NA
46417,,Q96MT0,163,NA,NA,NA,NA,NA
47344,,Q96NJ1,140,NA,NA,NA,NA,NA
46803,,Q9BRP9,147,NA,NA,NA,NA,NA
46304,,Q9BTK2,45,NA,NA,NA,NA,NA
46671,,Q9BZS9,49,NA,NA,NA,NA,NA
46721,,Q9H354,126,NA,NA,NA,NA,NA
46601,,Q9H379,93,NA,NA,NA,NA,NA
9761,,Q9H521,79,1,66,PF15796,KELK,Coiled-coil
46096,,Q9H8V8,135,NA,NA,NA,NA,NA
46462,,Q9HAA7,133,NA,NA,NA,NA,NA
45477,,Q9N2J8,555,247,544,PF00429,TLV_coat,Family
41931,,Q9N2K0,584,36,110,PF00429,TLV_coat,Family
41930,,Q9N2K0,584,249,552,PF00429,TLV_coat,Family
46419,,Q9P1C3,46,NA,NA,NA,NA,NA
46781,,Q9P1D8,64,NA,NA,NA,NA,NA
46699,,Q9UF83,564,NA,NA,NA,NA,NA
46613,,Q9UFV3,132,NA,NA,NA,NA,NA
46875,,Q9UHT4,67,NA,NA,NA,NA,NA
46805,,Q9UHU1,43,NA,NA,NA,NA,NA
46463,,Q9UI25,63,NA,NA,NA,NA,NA
47286,,Q9UI54,55,NA,NA,NA,NA,NA
45856,,Q9UI72,69,NA,NA,NA,NA,NA
15204,,Q9Y3F1,56,2,52,PF15789,Hyr1,Repeat
13300,A1BG,P04217,495,209,301,PF13895,Ig_2,Domain
12380,A1CF,Q9NQ94,594,58,127,PF00076,RRM_1,Domain
12379,A1CF,Q9NQ94,594,138,203,PF00076,RRM_1,Domain
12381,A1CF,Q9NQ94,594,233,297,PF00076,RRM_1,Domain
12382,A1CF,Q9NQ94,594,445,523,PF14709,DND1_DSRM,Domain
38331,A2M,P01023,1474,128,221,PF01835,MG2,Domain
38326,A2M,P01023,1474,223,313,PF17791,MG3,Domain
38332,A2M,P01023,1474,350,445,PF17789,MG4,Domain
38329,A2M,P01023,1474,459,607,PF07703,A2M_BRD,Domain
38330,A2M,P01023,1474,738,828,PF00207,A2M,Family
38327,A2M,P01023,1474,948,1264,PF07678,TED_complement,Domain
38328,A2M,P01023,1474,1376,1463,PF07677,A2M_recep,Domain
42249,A2ML1,A8K2U0,1454,121,236,PF01835,MG2,Domain
42245,A2ML1,A8K2U0,1454,213,304,PF17791,MG3,Domain
42251,A2ML1,A8K2U0,1454,342,439,PF17789,MG4,Domain
42248,A2ML1,A8K2U0,1454,453,601,PF07703,A2M_BRD,Domain
42250,A2ML1,A8K2U0,1454,736,826,PF00207,A2M,Family
42247,A2ML1,A8K2U0,1454,946,1251,PF07678,TED_complement,Domain
42246,A2ML1,A8K2U0,1454,1362,1449,PF07677,A2M_recep,Domain
38922,A3GALT2,U3KPV4,340,45,340,PF03414,Glyco_transf_6,Family
41719,A4GALT,Q9NPC4,353,91,215,PF04488,Gly_transf_sug,Family
41720,A4GALT,Q9NPC4,353,222,349,PF04572,Gb3_synth,Family
38320,A4GNT,Q9UNA3,340,64,188,PF04488,Gly_transf_sug,Family
38319,A4GNT,Q9UNA3,340,196,323,PF04572,Gb3_synth,Family
45075,AAAS,Q9NRG9,546,235,273,PF00400,WD40,Repeat
13314,AACS,Q86V21,672,47,105,PF16177,ACAS_N,Family
13313,AACS,Q86V21,672,103,546,PF00501,AMP-binding,Family
38342,AADAC,P22760,399,107,279,PF07859,Abhydrolase_3,Domain
38341,AADAC,P22760,399,301,377,PF07859,Abhydrolase_3,Domain
45086,AADACL2,Q6P093,401,107,274,PF07859,Abhydrolase_3,Domain
45087,AADACL2,Q6P093,401,269,375,PF07859,Abhydrolase_3,Domain
12509,AADACL3,Q5VUY0,407,115,269,PF07859,Abhydrolase_3,Domain
12510,AADACL3,Q5VUY0,407,286,381,PF07859,Abhydrolase_3,Domain
20280,AADACL4,Q5VUY2,407,115,285,PF07859,Abhydrolase_3,Domain
20281,AADACL4,Q5VUY2,407,291,381,PF07859,Abhydrolase_3,Domain
11986,AADAT,Q8N5Z0,425,43,417,PF00155,Aminotran_1_2,Domain
42241,AAGAB,Q6PD74,315,155,294,PF10199,Adaptin_binding,Family
12383,AAK1,Q2M2I8,961,46,312,PF00069,Pkinase,Domain
45394,AAMDC,Q9H7C9,122,6,119,PF04430,DUF498,Domain
45066,AAMP,Q13685,434,124,162,PF00400,WD40,Repeat
45068,AAMP,Q13685,434,208,243,PF00400,WD40,Repeat
45069,AAMP,Q13685,434,247,287,PF00400,WD40,Repeat
45067,AAMP,Q13685,434,348,386,PF00400,WD40,Repeat
45065,AAMP,Q13685,434,390,427,PF00400,WD40,Repeat
9825,AANAT,Q16613,207,45,173,PF00583,Acetyltransf_1,Family
11367,AAR2,Q9Y312,384,17,364,PF05282,AAR2,Family
46887,AARD,Q4LEZ3,155,NA,NA,NA,NA,NA
36578,AARS1,P49588,968,9,597,PF01411,tRNA-synt_2c,Family
36577,AARS1,P49588,968,694,753,PF07973,tRNA_SAD,Domain
36576,AARS1,P49588,968,812,959,PF02272,DHHA1,Family
5136,AARS2,Q5JTZ9,985,41,624,PF01411,tRNA-synt_2c,Family
5135,AARS2,Q5JTZ9,985,721,778,PF07973,tRNA_SAD,Domain
42451,AARSD1,Q9BTE6,412,196,241,PF07973,tRNA_SAD,Domain
22005,AASDH,Q4L235,1098,7,450,PF00501,AMP-binding,Family
22002,AASDH,Q4L235,1098,557,626,PF00550,PP-binding,Domain
22003,AASDH,Q4L235,1098,815,945,PF13360,PQQ_2,Domain
22004,AASDH,Q4L235,1098,967,1007,PF13570,PQQ_3,Repeat
20174,AASDHPPT,Q9NRN7,309,125,244,PF01648,ACPS,Domain
37421,AASS,Q9UDR5,926,27,157,PF05222,AlaDh_PNT_N,Domain
37419,AASS,Q9UDR5,926,483,598,PF03435,Sacchrp_dh_NADP,Family
37420,AASS,Q9UDR5,926,602,916,PF16653,Sacchrp_dh_C,Domain
13674,AATF,Q9NY61,560,220,373,PF13339,AATF-Che1,Family
13673,AATF,Q9NY61,560,464,548,PF08164,TRAUB,Domain
30690,AATK,Q6ZMQ8,1374,125,395,PF07714,PK_Tyr_Ser-Thr,Domain
38699,ABAT,P80404,500,65,496,PF00202,Aminotran_3,Domain
751,ABCA1,O95477,2261,594,841,PF12698,ABC2_membrane_3,Family
749,ABCA1,O95477,2261,916,1061,PF00005,ABC_tran,Domain
750,ABCA1,O95477,2261,1344,1869,PF12698,ABC2_membrane_3,Family
752,ABCA1,O95477,2261,1929,2073,PF00005,ABC_tran,Domain
23019,ABCA10,Q8WWZ4,1543,61,329,PF12698,ABC2_membrane_3,Family
23020,ABCA10,Q8WWZ4,1543,410,556,PF00005,ABC_tran,Domain
23018,ABCA10,Q8WWZ4,1543,807,1133,PF12698,ABC2_membrane_3,Family
23021,ABCA10,Q8WWZ4,1543,1222,1368,PF00005,ABC_tran,Domain
11761,ABCA11P,Q4W5N1,156,86,155,PF00005,ABC_tran,Domain
37414,ABCA12,Q86UK0,2595,896,1270,PF12698,ABC2_membrane_3,Family
37413,ABCA12,Q86UK0,2595,1361,1507,PF00005,ABC_tran,Domain
37415,ABCA12,Q86UK0,2595,1744,2203,PF12698,ABC2_membrane_3,Family
37412,ABCA12,Q86UK0,2595,2273,2418,PF00005,ABC_tran,Domain
23354,ABCA13,Q86UQ4,5058,3305,3772,PF12698,ABC2_membrane_3,Family
23355,ABCA13,Q86UQ4,5058,3858,4004,PF00005,ABC_tran,Domain
23357,ABCA13,Q86UQ4,5058,4341,4674,PF12698,ABC2_membrane_3,Family
23356,ABCA13,Q86UQ4,5058,4737,4885,PF00005,ABC_tran,Domain
282,ABCA2,Q9BZC7,2435,684,912,PF12698,ABC2_membrane_3,Family
281,ABCA2,Q9BZC7,2435,1007,1151,PF00005,ABC_tran,Domain
279,ABCA2,Q9BZC7,2435,1692,2008,PF12698,ABC2_membrane_3,Family
280,ABCA2,Q9BZC7,2435,2070,2214,PF00005,ABC_tran,Domain
31226,ABCA3,Q99758,1704,23,469,PF12698,ABC2_membrane_3,Family
31227,ABCA3,Q99758,1704,549,693,PF00005,ABC_tran,Domain
31225,ABCA3,Q99758,1704,923,1323,PF12698,ABC2_membrane_3,Family
31228,ABCA3,Q99758,1704,1399,1543,PF00005,ABC_tran,Domain
31678,ABCA4,P78363,2273,607,856,PF12698,ABC2_membrane_3,Family
31680,ABCA4,P78363,2273,946,1090,PF00005,ABC_tran,Domain
31681,ABCA4,P78363,2273,1595,1895,PF12698,ABC2_membrane_3,Family
31679,ABCA4,P78363,2273,1955,2099,PF00005,ABC_tran,Domain
19304,ABCA5,Q8WWZ7,1642,29,416,PF12698,ABC2_membrane_3,Family
19303,ABCA5,Q8WWZ7,1642,497,643,PF00005,ABC_tran,Domain
19302,ABCA5,Q8WWZ7,1642,850,1226,PF12698,ABC2_membrane_3,Family
19301,ABCA5,Q8WWZ7,1642,1316,1461,PF00005,ABC_tran,Domain
23024,ABCA6,Q8N139,1617,28,416,PF12698,ABC2_membrane_3,Family
23022,ABCA6,Q8N139,1617,497,643,PF00005,ABC_tran,Domain
23025,ABCA6,Q8N139,1617,852,1214,PF12698,ABC2_membrane_3,Family
23023,ABCA6,Q8N139,1617,1303,1441,PF00005,ABC_tran,Domain
37888,ABCA7,Q8IZY2,2146,530,750,PF12698,ABC2_membrane_3,Family
37891,ABCA7,Q8IZY2,2146,824,968,PF00005,ABC_tran,Domain
37890,ABCA7,Q8IZY2,2146,1433,1750,PF12698,ABC2_membrane_3,Family
37889,ABCA7,Q8IZY2,2146,1810,1954,PF00005,ABC_tran,Domain
20154,ABCA8,O94911,1581,28,418,PF12698,ABC2_membrane_3,Family
20153,ABCA8,O94911,1581,499,654,PF00005,ABC_tran,Domain
20155,ABCA8,O94911,1581,869,1177,PF12698,ABC2_membrane_3,Family
20152,ABCA8,O94911,1581,1266,1406,PF00005,ABC_tran,Domain
20159,ABCA9,Q8IUA7,1624,27,419,PF12698,ABC2_membrane_3,Family
20157,ABCA9,Q8IUA7,1624,500,646,PF00005,ABC_tran,Domain
20156,ABCA9,Q8IUA7,1624,908,1220,PF12698,ABC2_membrane_3,Family
20158,ABCA9,Q8IUA7,1624,1309,1449,PF00005,ABC_tran,Domain
31012,ABCB1,P08183,1280,51,343,PF00664,ABC_membrane,Family
31011,ABCB1,P08183,1280,410,559,PF00005,ABC_tran,Domain
31014,ABCB1,P08183,1280,711,986,PF00664,ABC_membrane,Family
31013,ABCB1,P08183,1280,1053,1204,PF00005,ABC_tran,Domain
13447,ABCB10,Q9NRK6,738,171,442,PF00664,ABC_membrane,Family
13446,ABCB10,Q9NRK6,738,510,662,PF00005,ABC_tran,Domain
31243,ABCB11,O95342,1321,62,371,PF00664,ABC_membrane,Family
31245,ABCB11,O95342,1321,438,587,PF00005,ABC_tran,Domain
31244,ABCB11,O95342,1321,755,1029,PF00664,ABC_membrane,Family
31242,ABCB11,O95342,1321,1096,1247,PF00005,ABC_tran,Domain
25829,ABCB4,P21439,1286,57,345,PF00664,ABC_membrane,Family
25827,ABCB4,P21439,1286,412,561,PF00005,ABC_tran,Domain
25830,ABCB4,P21439,1286,711,985,PF00664,ABC_membrane,Family
25828,ABCB4,P21439,1286,1052,1210,PF00005,ABC_tran,Domain
23526,ABCB5,Q2M3G0,1257,48,337,PF00664,ABC_membrane,Family
23528,ABCB5,Q2M3G0,1257,404,553,PF00005,ABC_tran,Domain
23525,ABCB5,Q2M3G0,1257,692,966,PF00664,ABC_membrane,Family
23527,ABCB5,Q2M3G0,1257,1033,1184,PF00005,ABC_tran,Domain
31996,ABCB6,Q9NP58,842,6,255,PF16185,MTABC_N,Family
31995,ABCB6,Q9NP58,842,265,544,PF00664,ABC_membrane,Family
31994,ABCB6,Q9NP58,842,606,755,PF00005,ABC_tran,Domain
11764,ABCB7,O75027,752,140,424,PF00664,ABC_membrane,Family
11765,ABCB7,O75027,752,488,637,PF00005,ABC_tran,Domain
30746,ABCB8,Q9NUT2,735,148,425,PF00664,ABC_membrane,Family
30747,ABCB8,Q9NUT2,735,490,640,PF00005,ABC_tran,Domain
38686,ABCB9,Q9NP78,766,188,457,PF00664,ABC_membrane,Family
38687,ABCB9,Q9NP78,766,522,671,PF00005,ABC_tran,Domain
25537,ABCC1,P33527,1531,325,596,PF00664,ABC_membrane,Family
25540,ABCC1,P33527,1531,661,796,PF00005,ABC_tran,Domain
25538,ABCC1,P33527,1531,975,1244,PF00664,ABC_membrane,Family
25539,ABCC1,P33527,1531,1310,1458,PF00005,ABC_tran,Domain
26533,ABCC10,Q5T3U5,1492,285,551,PF00664,ABC_membrane,Family
26534,ABCC10,Q5T3U5,1492,618,754,PF00005,ABC_tran,Domain
26535,ABCC10,Q5T3U5,1492,885,1198,PF00664,ABC_membrane,Family
26532,ABCC10,Q5T3U5,1492,1263,1410,PF00005,ABC_tran,Domain
29541,ABCC11,Q96J66,1382,167,431,PF00664,ABC_membrane,Family
29539,ABCC11,Q96J66,1382,527,662,PF00005,ABC_tran,Domain
29540,ABCC11,Q96J66,1382,806,1092,PF00664,ABC_membrane,Family
29538,ABCC11,Q96J66,1382,1158,1306,PF00005,ABC_tran,Domain
21476,ABCC12,Q96J65,1359,123,391,PF00664,ABC_membrane,Family
21475,ABCC12,Q96J65,1359,496,631,PF00005,ABC_tran,Domain
21473,ABCC12,Q96J65,1359,795,1070,PF00664,ABC_membrane,Family
21474,ABCC12,Q96J65,1359,1137,1285,PF00005,ABC_tran,Domain
27531,ABCC2,Q92887,1545,322,593,PF00664,ABC_membrane,Family
27529,ABCC2,Q92887,1545,654,789,PF00005,ABC_tran,Domain
27530,ABCC2,Q92887,1545,979,1251,PF00664,ABC_membrane,Family
27528,ABCC2,Q92887,1545,1317,1465,PF00005,ABC_tran,Domain
33886,ABCC3,O15438,1527,311,582,PF00664,ABC_membrane,Family
33889,ABCC3,O15438,1527,644,779,PF00005,ABC_tran,Domain
33888,ABCC3,O15438,1527,971,1240,PF00664,ABC_membrane,Family
33887,ABCC3,O15438,1527,1306,1454,PF00005,ABC_tran,Domain
29992,ABCC4,O15439,1325,92,365,PF00664,ABC_membrane,Family
29993,ABCC4,O15439,1325,428,563,PF00005,ABC_tran,Domain
29995,ABCC4,O15439,1325,714,993,PF00664,ABC_membrane,Family
29994,ABCC4,O15439,1325,1058,1205,PF00005,ABC_tran,Domain
37884,ABCC5,O15440,1437,179,447,PF00664,ABC_membrane,Family
37886,ABCC5,O15440,1437,578,713,PF00005,ABC_tran,Domain
37885,ABCC5,O15440,1437,859,1143,PF00664,ABC_membrane,Family
37887,ABCC5,O15440,1437,1210,1358,PF00005,ABC_tran,Domain
23103,ABCC6,O95255,1503,311,581,PF00664,ABC_membrane,Family
23102,ABCC6,O95255,1503,646,781,PF00005,ABC_tran,Domain
23104,ABCC6,O95255,1503,947,1216,PF00664,ABC_membrane,Family
23105,ABCC6,O95255,1503,1282,1430,PF00005,ABC_tran,Domain
32503,ABCC8,Q09428,1581,299,590,PF00664,ABC_membrane,Family
32501,ABCC8,Q09428,1581,696,857,PF00005,ABC_tran,Domain
32504,ABCC8,Q09428,1581,1012,1294,PF00664,ABC_membrane,Family
32502,ABCC8,Q09428,1581,1361,1509,PF00005,ABC_tran,Domain
1069,ABCC9,O60706,1549,297,585,PF00664,ABC_membrane,Family
1068,ABCC9,O60706,1549,688,840,PF00005,ABC_tran,Domain
1066,ABCC9,O60706,1549,994,1266,PF00664,ABC_membrane,Family
1067,ABCC9,O60706,1549,1329,1477,PF00005,ABC_tran,Domain
274,ABCD1,P33897,745,78,352,PF06472,ABC_membrane_2,Family
275,ABCD1,P33897,745,490,633,PF00005,ABC_tran,Domain
32516,ABCD2,Q9UBJ2,740,91,365,PF06472,ABC_membrane_2,Family
32515,ABCD2,Q9UBJ2,740,494,637,PF00005,ABC_tran,Domain
13919,ABCD3,P28288,659,70,338,PF06472,ABC_membrane_2,Family
13918,ABCD3,P28288,659,456,599,PF00005,ABC_tran,Domain
13669,ABCD4,O14678,606,27,294,PF06472,ABC_membrane_2,Family
13668,ABCD4,O14678,606,404,552,PF00005,ABC_tran,Domain
23365,ABCE1,P61221,599,6,37,PF04068,RLI,Family
23366,ABCE1,P61221,599,48,71,PF00037,Fer4,Domain
23364,ABCE1,P61221,599,100,245,PF00005,ABC_tran,Domain
23363,ABCE1,P61221,599,362,490,PF00005,ABC_tran,Domain
32002,ABCF1,Q8NE71,845,319,480,PF00005,ABC_tran,Domain
32001,ABCF1,Q8NE71,845,641,771,PF00005,ABC_tran,Domain
40316,ABCF2,Q9UG63,623,101,257,PF00005,ABC_tran,Domain
40315,ABCF2,Q9UG63,623,296,383,PF12848,ABC_tran_Xtn,Domain
40314,ABCF2,Q9UG63,623,413,545,PF00005,ABC_tran,Domain
20266,ABCF3,Q9NUQ8,709,193,356,PF00005,ABC_tran,Domain
20268,ABCF3,Q9NUQ8,709,395,480,PF12848,ABC_tran_Xtn,Domain
20267,ABCF3,Q9NUQ8,709,508,639,PF00005,ABC_tran,Domain
38340,ABCG1,P45844,678,101,245,PF00005,ABC_tran,Domain
38339,ABCG1,P45844,678,274,346,PF19055,ABC2_membrane_7,Family
38338,ABCG1,P45844,678,403,614,PF01061,ABC2_membrane,Family
12162,ABCG2,Q9UNQ0,655,64,214,PF00005,ABC_tran,Domain
12161,ABCG2,Q9UNQ0,655,243,321,PF19055,ABC2_membrane_7,Family
12160,ABCG2,Q9UNQ0,655,375,586,PF01061,ABC2_membrane,Family
11781,ABCG4,Q9H172,646,85,229,PF00005,ABC_tran,Domain
11783,ABCG4,Q9H172,646,258,328,PF19055,ABC2_membrane_7,Family
11782,ABCG4,Q9H172,646,372,583,PF01061,ABC2_membrane,Family
19919,ABCG5,Q9H222,651,69,221,PF00005,ABC_tran,Domain
19917,ABCG5,Q9H222,651,250,362,PF19055,ABC2_membrane_7,Family
19918,ABCG5,Q9H222,651,366,580,PF01061,ABC2_membrane,Family
13691,ABCG8,Q9H221,673,88,241,PF00005,ABC_tran,Domain
13692,ABCG8,Q9H221,673,270,355,PF19055,ABC2_membrane_7,Family
13690,ABCG8,Q9H221,673,397,608,PF01061,ABC2_membrane,Family
38321,ABHD1,Q96SE0,405,123,365,PF00561,Abhydrolase_1,Domain
